2025-08-09 19:34:27.924 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:27.952 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:27.969 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:27.986 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:28.002 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:28.019 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:28.035 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:28.052 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:28.119 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:28.135 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:03:38.532 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=7 | project= span=canvasRedraw durationMs=7 node=
2025-08-09 20:03:38.585 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:03:38.587 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:03:44.464 PERF INFO  async:Opening | result=success durationMs=102 | project= span=async:Opening durationMs=102 node=New Program
2025-08-09 20:03:44.532 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=10 | project= span=canvasRedraw durationMs=10 node=
2025-08-09 20:03:44.534 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:03:44.535 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:03:47.051 PERF INFO  canvasRedraw | pixels=354450 children=4 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
